retriever,fault_type,metric_name,sample_count,healthy_mean,fault_mean,mean_delta,median_delta,std_delta,improved_count,degraded_count,unchanged_count,expected_direction,direction_match,ci_95_lower,ci_95_upper,standardized_effect,rank_biserial_effect,quality_mean_delta,skipped_count,error_count
bm25,chunk_merge,chunking.chunk_integrity,20,1.0,1.0,0.0,0.0,0.0,0,0,20,decrease,False,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,chunking.gold_evidence_preservation,20,0.7,0.7,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,context.noise_ratio,20,0.59,0.59,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,generation.answer_relevance,20,0.5018315018315018,0.5018315018315018,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,generation.faithfulness,20,0.9613636363636364,0.9613636363636364,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_merge,retrieval.hit_at_k,20,1.0,0.95,-0.05,0.0,0.21794494717703367,0,1,19,unspecified,,-0.15,0.0,-0.2294157338705618,-1.0,-0.05,0,0
bm25,chunk_merge,retrieval.mrr,20,0.9166666666666666,0.8916666666666667,-0.025,0.0,0.248746859276655,1,1,18,unspecified,,-0.15,0.075,-0.10050378152592121,-0.3333333333333333,-0.025,0,0
bm25,chunk_merge,retrieval.precision_at_k,20,0.41000000000000003,0.3875,-0.02250000000000001,-0.024999999999999994,0.11669940016983806,10,10,0,unspecified,,-0.075,0.027499999999999983,-0.19280304754998495,-0.3,-0.02250000000000001,0,0
bm25,chunk_merge,retrieval.recall_at_k,20,1.0,0.7583333333333333,-0.24166666666666667,-0.16666666666666669,0.2762597409041796,0,10,10,unspecified,,-0.3666666666666667,-0.13333333333333333,-0.8747806172398044,-1.0,-0.24166666666666667,0,0
bm25,chunk_truncation,chunking.chunk_integrity,20,1.0,0.8,-0.19999999999999996,-0.19999999999999996,0.0,0,20,0,decrease,True,-0.19999999999999996,-0.19999999999999996,,-1.0,-0.19999999999999996,0,0
bm25,chunk_truncation,chunking.gold_evidence_preservation,20,0.55,0.55,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,context.context_truncation,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,context.evidence_coverage,20,1.0,1.0,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
bm25,chunk_truncation,context.noise_ratio,20,0.54,0.54,0.0,0.0,0.0,0,0,20,unspecified,,0.0,0.0,,0.0,0.0,0,0
